,Frozen Layers,Initial LR,LR Decay,Max Epochs,Batch Size,Train Loss,Train Accuracy,Train AUC,Val Loss,Val Accuracy,Val AUC
0,130.0,0.008480131121858135,0.777212446313339,7.0,64.0,0.0023927236907184124,0.9997714757919312,0.9999292492866516,0.37317734956741333,0.9259563684463501,0.9754425883293152
1,130.0,0.03532574974083212,0.8313191608274316,7.0,64.0,0.07308553159236908,0.9715238809585571,0.9977025985717773,0.4424973130226135,0.8914027214050293,0.9695728421211243
2,130.0,0.08522107024153937,0.8443465103490673,7.0,64.0,0.12103499472141266,0.9564859867095947,0.9947181940078735,0.2843412756919861,0.907034158706665,0.9789958596229553
3,130.0,0.026034755513459164,0.8502491165231847,7.0,64.0,0.05241664499044418,0.9812139868736267,0.9991770386695862,0.34433379769325256,0.8967503309249878,0.9753814339637756
4,130.0,0.004586621754203088,0.8302905595001837,7.0,64.0,0.002342329826205969,0.9999085664749146,0.999930739402771,0.3253247141838074,0.9276018142700195,0.9783814549446106
5,130.0,0.030274863099705056,0.7002186188425805,7.0,64.0,0.006769218947738409,0.9990858435630798,0.9999969601631165,0.3518885374069214,0.9210201501846313,0.974260687828064
6,130.0,0.0015318608215674125,0.788258591697457,7.0,64.0,0.0012229369021952152,0.9999085664749146,0.9999641180038452,0.28568461537361145,0.9296585917472839,0.9812222123146057
7,130.0,0.0014168049790538424,0.92144351607466,7.0,64.0,0.05950162932276726,0.9804826974868774,0.9981321692466736,0.36124613881111145,0.9082682132720947,0.9753692150115967
8,130.0,0.001810390282331086,0.8537433530358882,7.0,64.0,0.002002019202336669,0.9999085664749146,0.9999307990074158,0.2844608724117279,0.9345948100090027,0.9825274348258972
9,130.0,0.014815835712941445,0.7928118771876187,7.0,64.0,0.0065284851007163525,0.998857319355011,0.9999212622642517,0.3992425501346588,0.9169065952301025,0.9737390279769897
10,130.0,0.0010536583210479645,0.7899119273027533,7.0,64.0,0.0018704487010836601,0.9999085664749146,0.9999305605888367,0.27316680550575256,0.9313039779663086,0.9829207062721252
11,130.0,0.032603705370908356,0.70268835821117,7.0,64.0,0.02518373355269432,0.9948350191116333,0.9998098611831665,0.31307265162467957,0.9107363224029541,0.9773568511009216
12,130.0,0.0031205439168464576,0.7217324479726362,7.0,64.0,0.0011433769250288606,0.9999085664749146,0.9999309778213501,0.28725019097328186,0.9341834783554077,0.9807858467102051
13,130.0,0.036914845865352465,0.7836593649533293,7.0,64.0,0.06807199120521545,0.9772374033927917,0.9984660148620605,0.30573567748069763,0.907856822013855,0.9760696291923523
14,130.0,0.007808433959029701,0.8177915567179396,7.0,64.0,0.004378477577120066,0.9996800422668457,0.9998920559883118,0.3466620147228241,0.9206088185310364,0.9761120676994324
15,130.0,0.007894051593210449,0.9338363148952074,7.0,64.0,0.016465896740555763,0.9947893023490906,0.9997532963752747,0.38190677762031555,0.9169065952301025,0.9743172526359558
16,130.0,0.08515294233708887,0.8450378991151442,7.0,64.0,0.14920607209205627,0.9422250390052795,0.9930700063705444,0.271725594997406,0.9020978808403015,0.9788200855255127
17,130.0,0.08740950688384053,0.8782012803905154,7.0,64.0,0.13728371262550354,0.9486699104309082,0.9937068223953247,0.2817220091819763,0.9020978808403015,0.9786052107810974
18,130.0,0.019035071537985965,0.9373831420442129,7.0,64.0,0.03714096173644066,0.9884358644485474,0.999313473701477,0.26587384939193726,0.9189633727073669,0.9827718734741211
19,130.0,0.08777262958187398,0.9975566295832964,7.0,64.0,0.39162173867225647,0.8660297989845276,0.9663494825363159,0.5018113851547241,0.8424516916275024,0.9521391987800598
